STOP_FRISK_DATE_DAYNO,STOP_FRISK_TIME_DAYMIN,OBSERVED_DURATION_MINUTES,OBSERVED_DURATION_MINUTES_EDITED,STOP_DURATION_MINUTES,STOP_DURATION_MINUTES_EDITED,SUSPECT_REPORTED_AGE,SUSPECT_HEIGHT,SUSPECT_HEIGHT_EDITED,SUSPECT_WEIGHT
45,82,5,5,6,6,44,5.6,165,180
52,1211,2,2,5,5,18,5.11,177.5,165
52,1140,1,1,10,10,17,5.1,152.5,175
59,1410,3,3,3,3,38,5.8,170,150
45,911,1,1,17,17,18,5.6,165,140
59,968,2,2,10,10,39,6.1,182.5,170
59,967,2,2,162,50,30,5.1,152.5,175
45,1195,1,1,1,1,38,5.9,172.5,210
52,1341,0,0,50,50,15,5.7,167.5,160
45,1378,1,1,23,23,18,5.8,170,160
59,200,1,1,5,5,30,5.9,172.5,150
59,110,1,1,10,10,63,6.2,185,180
38,71,5,5,1,1,20,5.8,170,160
45,1155,1,1,5,5,24,6,180,250
45,1315,1,1,2,2,20,5.1,152.5,175
45,1315,1,1,2,2,19,5.4,160,170
59,925,0,0,10,10,59,5.8,170,210
45,605,5,5,35,35,28,5.6,165,150
38,911,1,1,18,18,52,5.5,162.5,150
52,1199,1,1,10,10,62,5.7,167.5,180
59,1314,1,1,10,10,20,5.9,172.5,200
45,198,1,1,20,20,36,5.9,172.5,180
45,1145,1,1,2,2,28,5.9,172.5,170
45,10,1,1,5,5,21,5.8,170,160
45,1293,1,1,1,1,15,5.8,170,150
45,1293,1,1,1,1,13,5.8,170,165
52,1321,1,1,15,15,26,6,180,175
59,1383,1,1,38,38,18,5.6,165,120
52,137,0,0,55,50,27,5.9,172.5,160
38,1024,1,1,8,8,16,5.9,172.5,120
45,1283,1,1,5,5,17,5.6,165,160
52,867,1,1,1,1,25,5.1,152.5,210
45,1430,2,2,3,3,18,5.9,172.5,160
59,67,1,1,5,5,33,5.11,177.5,185
38,1310,1,1,5,5,17,5.9,172.5,160
52,935,1,1,5,5,26,5.8,170,180
59,60,4,4,8,8,37,5.1,152.5,180
59,985,1,1,15,15,56,5.9,172.5,155
38,1371,1,1,12,12,29,5.7,167.5,150
